"region","periodo","CBA","CBT"
"Pampeana","2017.4",2109.90666666667,5198.14
"Pampeana","2018.1",2240.18666666667,5623.16
"Pampeana","2018.2",2394.25333333333,6047.26666666667
"Pampeana","2018.3",2730.58666666667,6799.41666666667
"Pampeana","2018.4",3212.48666666667,8009.99
"Pampeana","2019.1",3560.38666666667,8839.95666666667
"Pampeana","2019.2",3867.10333333333,9681.23333333333
"Pampeana","2019.3",4256.20333333333,10626.3866666667
"Pampeana","2019.4",4803.07333333333,11990.5166666667
"Pampeana","2020.1",5417.25333333333,13180.48
"Pampeana","2020.2",5727.34333333333,13784.0866666667
"Pampeana","2020.3",6011.61541333333,14588.2866666667
"Pampeana","2020.4",6958.72746666667,16698.9666666667
"Pampeana","2021.1",7893.06305786794,18705.6866666667
"Pampeana","2021.2",8741.99381333333,20541.9
"Pampeana","2021.3",9397.51666666667,21928.5533333333
"Pampeana","2021.4",10231.09,23801.1266666667
"Pampeana","2022.1",12003.11,27073.84
"Pampeana","2022.2",14256.4,31934.3366666667
"Pampeana","2022.3",16967.3166666667,38293.47
"Pampeana","2022.4",20639.3433333333,46720.9466666667
"Pampeana","2023.1",25719.1033333333,56860.36
"Pampeana","2023.2",31771.9433333333,69829.6333333333
"Pampeana","2023.3",41554.89888,90869.8366666667
"Pampeana","2023.4",62527.62416,131138.856666667
"Patagonia","2016.2",1607.56,4447.90666666667
"Patagonia","2016.3",1735.14,4742.31666666667
"Patagonia","2016.4",1813.34666666667,4962.50666666667
"Patagonia","2017.1",1890.22666666667,5198.23666666667
"Patagonia","2017.2",1994.24666666667,5550.71
"Patagonia","2017.3",2070.33333333333,5741.60333333333
"Patagonia","2017.4",2183.86666666667,6108.55
"Patagonia","2018.1",2327.43,6625.94
"Patagonia","2018.2",2494.24666666667,7147.77666666667
"Patagonia","2018.3",2836.20333333333,8017.66333333333
"Patagonia","2018.4",3341.05,9444.38666666667
"Patagonia","2019.1",3688.92333333333,10413.4066666667
"Patagonia","2019.2",4004.81,11374.38
"Patagonia","2019.3",4461.78333333333,12656.66
"Patagonia","2019.4",5037.27,14287.89
"Patagonia","2020.1",5672.95,15655.7233333333
"Patagonia","2020.2",5974.18333333333,16349.52
"Patagonia","2020.3",6307.29345,17387.1566666667
"Patagonia","2020.4",7291.5957,19855.18
"Patagonia","2021.1",8313.1459855193,22361.4
"Patagonia","2021.2",9145.56015,24416.9066666667
"Patagonia","2021.3",9774.03333333333,25934.7566666667
"Patagonia","2021.4",10665.5466666667,28152.2533333333
"Patagonia","2022.1",12511.2433333333,32053.2266666667
"Patagonia","2022.2",14881.1366666667,37849.9866666667
"Patagonia","2022.3",17856.79,45713.3833333333
"Patagonia","2022.4",21698.27,55843.5733333333
"Patagonia","2023.1",27061.9233333333,68027.7766666667
"Patagonia","2023.2",33028.5566666667,82498.6666666667
"Patagonia","2023.3",43556.5674,108270.796666667
"Patagonia","2023.4",65121.7446,155201.956666667
